"fecha_siniestro","monto_siniestro"
oct. 2012,0.303
nov. 2012,1.293
nov. 2012,0.303
nov. 2012,0.378
nov. 2012,1.241
nov. 2012,0.319
nov. 2012,0.506
nov. 2012,0.715
dic. 2012,0.328
dic. 2012,0.449
dic. 2012,1.667
dic. 2012,0.311
dic. 2012,0.313
dic. 2012,0.369
dic. 2012,0.506
ene. 2013,0.409
ene. 2013,0.603
ene. 2013,0.383
ene. 2013,0.303
ene. 2013,0.603
ene. 2013,0.34
ene. 2013,0.89
feb. 2013,0.586
feb. 2013,0.4
feb. 2013,0.422
feb. 2013,0.386
mar. 2013,0.353
mar. 2013,1.331
mar. 2013,0.568
mar. 2013,0.472
abr. 2013,0.325
abr. 2013,0.356
abr. 2013,0.665
may. 2013,1.296
may. 2013,0.452
may. 2013,0.41
may. 2013,0.311
may. 2013,0.324
may. 2013,0.337
may. 2013,0.645
jun. 2013,0.428
jun. 2013,0.673
jun. 2013,0.403
jun. 2013,0.342
jul. 2013,1.108
jul. 2013,0.589
jul. 2013,0.986
jul. 2013,0.335
jul. 2013,0.477
jul. 2013,0.408
jul. 2013,0.328
jul. 2013,0.314
jul. 2013,0.736
jul. 2013,0.487
jul. 2013,8.868
ago. 2013,0.365
ago. 2013,0.383
ago. 2013,0.335
ago. 2013,0.305
ago. 2013,0.345
ago. 2013,0.423
ago. 2013,0.313
sep. 2013,0.39
sep. 2013,0.351
sep. 2013,0.831
sep. 2013,0.397
sep. 2013,0.349
sep. 2013,0.404
oct. 2013,0.906
oct. 2013,0.728
oct. 2013,0.41
oct. 2013,0.305
oct. 2013,0.324
nov. 2013,0.58
nov. 2013,0.315
nov. 2013,0.357
nov. 2013,0.677
nov. 2013,1.253
dic. 2013,0.341
dic. 2013,0.316
dic. 2013,1.546
dic. 2013,0.375
dic. 2013,0.403
ene. 2014,0.69
ene. 2014,0.394
ene. 2014,0.534
ene. 2014,0.364
ene. 2014,0.506
ene. 2014,0.345
ene. 2014,0.326
ene. 2014,0.566
ene. 2014,0.618
feb. 2014,0.587
feb. 2014,0.516
feb. 2014,0.405
mar. 2014,0.457
mar. 2014,0.307
mar. 2014,0.402
abr. 2014,0.307
abr. 2014,0.341
abr. 2014,0.308
abr. 2014,0.44
abr. 2014,0.374
may. 2014,0.439
may. 2014,0.792
may. 2014,0.502
may. 2014,0.369
may. 2014,0.516
may. 2014,0.916
may. 2014,0.868
may. 2014,2.363
may. 2014,0.519
jun. 2014,0.314
jun. 2014,1.179
jun. 2014,0.341
jun. 2014,0.345
jun. 2014,0.665
jun. 2014,0.519
jul. 2014,0.757
jul. 2014,0.452
jul. 2014,0.344
jul. 2014,0.377
jul. 2014,0.475
jul. 2014,0.691
jul. 2014,0.399
ago. 2014,0.501
ago. 2014,0.412
sep. 2014,0.442
sep. 2014,0.463
sep. 2014,0.54
sep. 2014,0.567
sep. 2014,0.324
sep. 2014,0.312
sep. 2014,0.446
oct. 2014,0.382
oct. 2014,0.322
oct. 2014,0.398
oct. 2014,0.355
oct. 2014,0.405
oct. 2014,0.34
nov. 2014,0.342
nov. 2014,0.356
nov. 2014,1.022
nov. 2014,2.252
nov. 2014,0.33
nov. 2014,0.477
nov. 2014,0.577
nov. 2014,2.564
nov. 2014,0.311
dic. 2014,0.327
dic. 2014,0.366
dic. 2014,1.18
dic. 2014,0.606
ene. 2015,0.497
ene. 2015,0.51
ene. 2015,0.434
feb. 2015,1.21
feb. 2015,0.316
feb. 2015,0.358
feb. 2015,0.473
feb. 2015,0.483
feb. 2015,0.373
feb. 2015,0.367
feb. 2015,0.462
mar. 2015,0.358
mar. 2015,0.428
mar. 2015,0.323
mar. 2015,0.833
mar. 2015,0.61
mar. 2015,0.341
mar. 2015,0.304
mar. 2015,0.393
mar. 2015,0.522
mar. 2015,0.398
mar. 2015,0.51
mar. 2015,0.992
mar. 2015,1.026
abr. 2015,0.511
abr. 2015,0.98
abr. 2015,0.585
abr. 2015,0.336
abr. 2015,0.393
abr. 2015,0.767
abr. 2015,0.371
may. 2015,0.674
may. 2015,0.425
may. 2015,0.997
may. 2015,0.347
jun. 2015,0.305
jun. 2015,0.346
jun. 2015,1.077
jun. 2015,0.452
jun. 2015,0.37
jun. 2015,0.302
jun. 2015,0.315
jun. 2015,0.799
jun. 2015,0.377
